Mois,Qualité,Territoire,Attribut,Valeur
01/03/2015,Données définitives,Bourgogne-Franche-Comté,Production thermique gaz,105
01/03/2015,Données définitives,Bourgogne-Franche-Comté,Production hydraulique,94
01/03/2015,Données définitives,Bourgogne-Franche-Comté,Production éolien,53
01/03/2015,Données définitives,Bourgogne-Franche-Comté,Production solaire,17
01/03/2015,Données définitives,Bourgogne-Franche-Comté,Production bioénergies,16
01/03/2015,Données définitives,Bourgogne-Franche-Comté,Consommation totale,1808
01/03/2015,Données définitives,Bourgogne-Franche-Comté,Solde exportateur,-1520
01/03/2015,Données définitives,Bretagne,Production totale,340
01/03/2015,Données définitives,Bretagne,Production thermique totale,81
01/03/2015,Données définitives,Bretagne,Production thermique fioul,2
01/03/2015,Données définitives,Bretagne,Production thermique gaz,79
01/03/2015,Données définitives,Bretagne,Production hydraulique,53
01/03/2015,Données définitives,Bretagne,Production éolien,163
01/03/2015,Données définitives,Bretagne,Production solaire,14
01/03/2015,Données définitives,Bretagne,Production bioénergies,27
01/03/2015,Données définitives,Bretagne,Consommation totale,2224
01/03/2015,Données définitives,Bretagne,Solde exportateur,-1888
01/03/2015,Données définitives,Centre-Val de Loire,Production totale,8404
01/03/2015,Données définitives,Centre-Val de Loire,Production nucléaire,8092
01/03/2015,Données définitives,Centre-Val de Loire,Production thermique totale,56
01/03/2015,Données définitives,Centre-Val de Loire,Production thermique fioul,0
01/03/2015,Données définitives,Centre-Val de Loire,Production thermique gaz,56
01/03/2015,Données définitives,Centre-Val de Loire,Production hydraulique,23
01/03/2015,Données définitives,Centre-Val de Loire,Production éolien,180
01/03/2015,Données définitives,Centre-Val de Loire,Production solaire,16
01/03/2015,Données définitives,Centre-Val de Loire,Production bioénergies,35
01/03/2015,Données définitives,Centre-Val de Loire,Consommation totale,1860
01/03/2015,Données définitives,Centre-Val de Loire,Solde exportateur,6544
01/03/2015,Données définitives,France,Production totale,50683
01/03/2015,Données définitives,France,Production nucléaire,36915
01/03/2015,Données définitives,France,Production thermique totale,4023
01/03/2015,Données définitives,France,Production thermique charbon,1108
01/03/2015,Données définitives,France,Production thermique fioul,299
01/03/2015,Données définitives,France,Production thermique gaz,2616
01/03/2015,Données définitives,France,Production hydraulique,6497
01/03/2015,Données définitives,France,Production éolien,2005
01/03/2015,Données définitives,France,Production solaire,537
01/03/2015,Données définitives,France,Production bioénergies,705
01/03/2015,Données définitives,France,Consommation totale,45739
01/03/2015,Données définitives,France,Solde exportateur,4103
01/03/2015,Données définitives,France,Echanges export,7394
01/03/2015,Données définitives,France,Echanges import,3290
01/03/2015,Données définitives,France,Echanges avec le Royaume-Uni,1153
01/03/2015,Données définitives,France,Echanges avec l'Espagne,44
01/03/2015,Données définitives,France,Echanges avec l'Italie,1790
01/03/2015,Données définitives,France,Echanges avec la Suisse,1374
01/03/2015,Données définitives,France,Echanges avec l'Allemagne et la Belgique,-258
01/03/2015,Données définitives,Ile-de-France,Production totale,594
01/03/2015,Données définitives,Ile-de-France,Production thermique totale,494
01/03/2015,Données définitives,Ile-de-France,Production thermique charbon,173
01/03/2015,Données définitives,Ile-de-France,Production thermique fioul,10
01/03/2015,Données définitives,Ile-de-France,Production thermique gaz,310
01/03/2015,Données définitives,Ile-de-France,Production hydraulique,4
01/03/2015,Données définitives,Ile-de-France,Production éolien,3
01/03/2015,Données définitives,Ile-de-France,Production solaire,5
01/03/2015,Données définitives,Ile-de-France,Production bioénergies,86
01/03/2015,Données définitives,Ile-de-France,Consommation totale,7242
01/03/2015,Données définitives,Ile-de-France,Solde exportateur,-6647
01/03/2015,Données définitives,Occitanie,Production totale,3665
01/03/2015,Données définitives,Occitanie,Production nucléaire,1815
01/03/2015,Données définitives,Occitanie,Production thermique totale,49
01/03/2015,Données définitives,Occitanie,Production thermique fioul,2
01/03/2015,Données définitives,Occitanie,Production thermique gaz,46
01/03/2015,Données définitives,Occitanie,Production hydraulique,1372
01/03/2015,Données définitives,Occitanie,Production éolien,252
01/03/2015,Données définitives,Occitanie,Production solaire,114
01/03/2015,Données définitives,Occitanie,Production bioénergies,60
01/03/2015,Données définitives,Occitanie,Consommation totale,3450
01/03/2015,Données définitives,Occitanie,Solde exportateur,84
01/03/2015,Données définitives,Normandie,Production totale,7003
01/03/2015,Données définitives,Normandie,Production nucléaire,6579
01/03/2015,Données définitives,Normandie,Production thermique totale,236
01/03/2015,Données définitives,Normandie,Production thermique charbon,-5
01/03/2015,Données définitives,Normandie,Production thermique fioul,46
01/03/2015,Données définitives,Normandie,Production thermique gaz,195
01/03/2015,Données définitives,Normandie,Production hydraulique,14
01/03/2015,Données définitives,Normandie,Production éolien,115
01/03/2015,Données définitives,Normandie,Production solaire,9
01/03/2015,Données définitives,Normandie,Production bioénergies,48
01/03/2015,Données définitives,Normandie,Consommation totale,2713
01/03/2015,Données définitives,Normandie,Solde exportateur,4290
01/03/2015,Données définitives,Hauts-de-France,Production totale,4694
01/03/2015,Données définitives,Hauts-de-France,Production nucléaire,3484
01/03/2015,Données définitives,Hauts-de-France,Production thermique totale,647
01/03/2015,Données définitives,Hauts-de-France,Production thermique charbon,60
01/03/2015,Données définitives,Hauts-de-France,Production thermique fioul,1
01/03/2015,Données définitives,Hauts-de-France,Production thermique gaz,585
01/03/2015,Données définitives,Hauts-de-France,Production hydraulique,1
01/03/2015,Données définitives,Hauts-de-France,Production éolien,465
01/03/2015,Données définitives,Hauts-de-France,Production solaire,10
01/03/2015,Données définitives,Hauts-de-France,Production bioénergies,85
01/03/2015,Données définitives,Hauts-de-France,Consommation totale,4929
01/03/2015,Données définitives,Hauts-de-France,Solde exportateur,-234
01/03/2015,Données définitives,PACA,Production totale,1593
01/03/2015,Données définitives,PACA,Production thermique totale,625
01/03/2015,Données définitives,PACA,Production thermique charbon,225
01/03/2015,Données définitives,PACA,Production thermique fioul,112
01/03/2015,Données définitives,PACA,Production thermique gaz,287
01/03/2015,Données définitives,PACA,Production hydraulique,813
01/03/2015,Données définitives,PACA,Production éolien,10
01/03/2015,Données définitives,PACA,Production solaire,91
01/03/2015,Données définitives,PACA,Production bioénergies,52
01/03/2015,Données définitives,PACA,Consommation totale,3868
01/03/2015,Données définitives,PACA,Solde exportateur,-2276
01/03/2015,Données définitives,Pays-de-la-Loire,Production totale,629
01/03/2015,Données définitives,Pays-de-la-Loire,Production thermique totale,440
01/03/2015,Données définitives,Pays-de-la-Loire,Production thermique charbon,221
01/03/2015,Données définitives,Pays-de-la-Loire,Production thermique fioul,24
01/03/2015,Données définitives,Pays-de-la-Loire,Production thermique gaz,194
01/03/2015,Données définitives,Pays-de-la-Loire,Production hydraulique,3
01/03/2015,Données définitives,Pays-de-la-Loire,Production éolien,121
01/03/2015,Données définitives,Pays-de-la-Loire,Production solaire,31
01/03/2015,Données définitives,Pays-de-la-Loire,Production bioénergies,32
01/03/2015,Données définitives,Pays-de-la-Loire,Consommation totale,2675
01/03/2015,Données définitives,Pays-de-la-Loire,Solde exportateur,-2046
01/04/2015,Données définitives,Grand-Est,Production totale,6724
01/04/2015,Données définitives,Grand-Est,Production nucléaire,5024
01/04/2015,Données définitives,Grand-Est,Production thermique totale,388
01/04/2015,Données définitives,Grand-Est,Production thermique charbon,225
01/04/2015,Données définitives,Grand-Est,Production thermique fioul,2
01/04/2015,Données définitives,Grand-Est,Production thermique gaz,160
01/04/2015,Données définitives,Grand-Est,Production hydraulique,854
01/04/2015,Données définitives,Grand-Est,Production éolien,346
01/04/2015,Données définitives,Grand-Est,Production solaire,57
01/04/2015,Données définitives,Grand-Est,Production bioénergies,53
01/04/2015,Données définitives,Grand-Est,Consommation totale,3598
01/04/2015,Données définitives,Grand-Est,Solde exportateur,3002
01/04/2015,Données définitives,Nouvelle-Aquitaine,Production totale,3988
01/04/2015,Données définitives,Nouvelle-Aquitaine,Production nucléaire,3195
01/04/2015,Données définitives,Nouvelle-Aquitaine,Production thermique totale,40
01/04/2015,Données définitives,Nouvelle-Aquitaine,Production thermique fioul,6
01/04/2015,Données définitives,Nouvelle-Aquitaine,Production thermique gaz,33
01/04/2015,Données définitives,Nouvelle-Aquitaine,Production hydraulique,401
01/04/2015,Données définitives,Nouvelle-Aquitaine,Production éolien,68
01/04/2015,Données définitives,Nouvelle-Aquitaine,Production solaire,186
01/04/2015,Données définitives,Nouvelle-Aquitaine,Production bioénergies,95
01/04/2015,Données définitives,Nouvelle-Aquitaine,Consommation totale,3278
01/04/2015,Données définitives,Nouvelle-Aquitaine,Solde exportateur,709
01/04/2015,Données définitives,Auvergne-Rhône-Alpes,Production totale,10103
01/04/2015,Données définitives,Auvergne-Rhône-Alpes,Production nucléaire,7275
01/04/2015,Données définitives,Auvergne-Rhône-Alpes,Production thermique totale,130
01/04/2015,Données définitives,Auvergne-Rhône-Alpes,Production thermique charbon,4
01/04/2015,Données définitives,Auvergne-Rhône-Alpes,Production thermique fioul,39
01/04/2015,Données définitives,Auvergne-Rhône-Alpes,Production thermique gaz,86
01/04/2015,Données définitives,Auvergne-Rhône-Alpes,Production hydraulique,2487
01/04/2015,Données définitives,Auvergne-Rhône-Alpes,Production éolien,66
01/04/2015,Données définitives,Auvergne-Rhône-Alpes,Production solaire,81
01/04/2015,Données définitives,Auvergne-Rhône-Alpes,Production bioénergies,61
01/04/2015,Données définitives,Auvergne-Rhône-Alpes,Consommation totale,5283
01/04/2015,Données définitives,Auvergne-Rhône-Alpes,Solde exportateur,4439
01/04/2015,Données définitives,Bourgogne-Franche-Comté,Production totale,203
01/04/2015,Données définitives,Bourgogne-Franche-Comté,Production thermique totale,26
01/04/2015,Données définitives,Bourgogne-Franche-Comté,Production thermique charbon,0
01/04/2015,Données définitives,Bourgogne-Franche-Comté,Production thermique fioul,0
01/04/2015,Données définitives,Bourgogne-Franche-Comté,Production thermique gaz,26
01/04/2015,Données définitives,Bourgogne-Franche-Comté,Production hydraulique,91
01/04/2015,Données définitives,Bourgogne-Franche-Comté,Production éolien,50
01/04/2015,Données définitives,Bourgogne-Franche-Comté,Production solaire,24
01/04/2015,Données définitives,Bourgogne-Franche-Comté,Production bioénergies,10
01/04/2015,Données définitives,Bourgogne-Franche-Comté,Consommation totale,1670
01/04/2015,Données définitives,Bourgogne-Franche-Comté,Solde exportateur,-1467
01/04/2015,Données définitives,Bretagne,Production totale,200
01/04/2015,Données définitives,Bretagne,Production thermique totale,2
01/04/2015,Données définitives,Bretagne,Production thermique fioul,2
01/04/2015,Données définitives,Bretagne,Production thermique gaz,0
01/04/2015,Données définitives,Bretagne,Production hydraulique,46
01/04/2015,Données définitives,Bretagne,Production éolien,104
01/04/2015,Données définitives,Bretagne,Production solaire,21
01/04/2015,Données définitives,Bretagne,Production bioénergies,25
01/04/2015,Données définitives,Bretagne,Consommation totale,1712
01/04/2015,Données définitives,Bretagne,Solde exportateur,-1517
01/04/2015,Données définitives,Centre-Val de Loire,Production totale,6245
01/04/2015,Données définitives,Centre-Val de Loire,Production nucléaire,6027
01/04/2015,Données définitives,Centre-Val de Loire,Production thermique totale,0
01/04/2015,Données définitives,Centre-Val de Loire,Production thermique fioul,0
01/04/2015,Données définitives,Centre-Val de Loire,Production thermique gaz,0
01/04/2015,Données définitives,Centre-Val de Loire,Production hydraulique,10
01/04/2015,Données définitives,Centre-Val de Loire,Production éolien,150
01/04/2015,Données définitives,Centre-Val de Loire,Production solaire,25
01/04/2015,Données définitives,Centre-Val de Loire,Production bioénergies,31
01/04/2015,Données définitives,Centre-Val de Loire,Consommation totale,1438
01/04/2015,Données définitives,Centre-Val de Loire,Solde exportateur,4807
01/04/2015,Données définitives,France,Production totale,41509
01/04/2015,Données définitives,France,Production nucléaire,31187
01/04/2015,Données définitives,France,Production thermique totale,1734
01/04/2015,Données définitives,France,Production thermique charbon,548
01/04/2015,Données définitives,France,Production thermique fioul,252
01/04/2015,Données définitives,France,Production thermique gaz,932
01/04/2015,Données définitives,France,Production hydraulique,5766
01/04/2015,Données définitives,France,Production éolien,1452
01/04/2015,Données définitives,France,Production solaire,782
01/04/2015,Données définitives,France,Production bioénergies,585
01/04/2015,Données définitives,France,Consommation totale,36898
01/04/2015,Données définitives,France,Solde exportateur,3896
01/04/2015,Données définitives,France,Echanges export,7526
01/04/2015,Données définitives,France,Echanges import,3629
01/04/2015,Données définitives,France,Echanges avec le Royaume-Uni,1310
01/04/2015,Données définitives,France,Echanges avec l'Espagne,408
01/04/2015,Données définitives,France,Echanges avec l'Italie,1337
01/04/2015,Données définitives,France,Echanges avec la Suisse,741
01/04/2015,Données définitives,France,Echanges avec l'Allemagne et la Belgique,98
01/04/2015,Données définitives,Ile-de-France,Production totale,149
01/04/2015,Données définitives,Ile-de-France,Production thermique totale,50
01/04/2015,Données définitives,Ile-de-France,Production thermique charbon,45
01/04/2015,Données définitives,Ile-de-France,Production thermique fioul,2
01/04/2015,Données définitives,Ile-de-France,Production thermique gaz,3
01/04/2015,Données définitives,Ile-de-France,Production hydraulique,4
01/04/2015,Données définitives,Ile-de-France,Production éolien,2
01/04/2015,Données définitives,Ile-de-France,Production solaire,8
01/04/2015,Données définitives,Ile-de-France,Production bioénergies,82
01/04/2015,Données définitives,Ile-de-France,Consommation totale,5540
01/04/2015,Données définitives,Ile-de-France,Solde exportateur,-5391
01/04/2015,Données définitives,Occitanie,Production totale,3165
01/04/2015,Données définitives,Occitanie,Production nucléaire,1645
01/04/2015,Données définitives,Occitanie,Production thermique totale,-2
01/04/2015,Données définitives,Occitanie,Production thermique fioul,-2
01/04/2015,Données définitives,Occitanie,Production thermique gaz,0
01/04/2015,Données définitives,Occitanie,Production hydraulique,1129
01/04/2015,Données définitives,Occitanie,Production éolien,176
01/04/2015,Données définitives,Occitanie,Production solaire,167
01/04/2015,Données définitives,Occitanie,Production bioénergies,49
01/04/2015,Données définitives,Occitanie,Consommation totale,2686
01/04/2015,Données définitives,Occitanie,Solde exportateur,461
01/04/2015,Données définitives,Normandie,Production totale,6006
01/04/2015,Données définitives,Normandie,Production nucléaire,5534
01/04/2015,Données définitives,Normandie,Production thermique totale,341
01/04/2015,Données définitives,Normandie,Production thermique charbon,168
01/04/2015,Données définitives,Normandie,Production thermique fioul,49
01/04/2015,Données définitives,Normandie,Production thermique gaz,123
01/04/2015,Données définitives,Normandie,Production hydraulique,11
01/04/2015,Données définitives,Normandie,Production éolien,72
01/04/2015,Données définitives,Normandie,Production solaire,14
01/04/2015,Données définitives,Normandie,Production bioénergies,32
01/04/2015,Données définitives,Normandie,Consommation totale,2184
01/04/2015,Données définitives,Normandie,Solde exportateur,3821
01/04/2015,Données définitives,Hauts-de-France,Production totale,3220
01/04/2015,Données définitives,Hauts-de-France,Production nucléaire,2483
01/04/2015,Données définitives,Hauts-de-France,Production thermique totale,333
01/04/2015,Données définitives,Hauts-de-France,Production thermique charbon,28
01/04/2015,Données définitives,Hauts-de-France,Production thermique fioul,1
01/04/2015,Données définitives,Hauts-de-France,Production thermique gaz,303
01/04/2015,Données définitives,Hauts-de-France,Production hydraulique,1
01/04/2015,Données définitives,Hauts-de-France,Production éolien,317
01/04/2015,Données définitives,Hauts-de-France,Production solaire,15
01/04/2015,Données définitives,Hauts-de-France,Production bioénergies,69
01/04/2015,Données définitives,Hauts-de-France,Consommation totale,4171
01/04/2015,Données définitives,Hauts-de-France,Solde exportateur,-951
01/04/2015,Données définitives,PACA,Production totale,1144
01/04/2015,Données définitives,PACA,Production thermique totale,310
01/04/2015,Données définitives,PACA,Production thermique charbon,82
01/04/2015,Données définitives,PACA,Production thermique fioul,83
01/04/2015,Données définitives,PACA,Production thermique gaz,144
01/04/2015,Données définitives,PACA,Production hydraulique,658
01/04/2015,Données définitives,PACA,Production éolien,8
01/04/2015,Données définitives,PACA,Production solaire,120
01/04/2015,Données définitives,PACA,Production bioénergies,46
01/04/2015,Données définitives,PACA,Consommation totale,3096
01/04/2015,Données définitives,PACA,Solde exportateur,-1952
01/04/2015,Données définitives,Pays-de-la-Loire,Production totale,227
01/04/2015,Données définitives,Pays-de-la-Loire,Production thermique totale,65
01/04/2015,Données définitives,Pays-de-la-Loire,Production thermique charbon,-4
01/04/2015,Données définitives,Pays-de-la-Loire,Production thermique fioul,20
01/04/2015,Données définitives,Pays-de-la-Loire,Production thermique gaz,49
01/04/2015,Données définitives,Pays-de-la-Loire,Production hydraulique,2
01/04/2015,Données définitives,Pays-de-la-Loire,Production éolien,88
01/04/2015,Données définitives,Pays-de-la-Loire,Production solaire,44
01/04/2015,Données définitives,Pays-de-la-Loire,Production bioénergies,26
01/04/2015,Données définitives,Pays-de-la-Loire,Consommation totale,2074
01/04/2015,Données définitives,Pays-de-la-Loire,Solde exportateur,-1847
01/05/2015,Données définitives,Grand-Est,Production totale,8188
01/05/2015,Données définitives,Grand-Est,Production nucléaire,6711
01/05/2015,Données définitives,Grand-Est,Production thermique totale,44
01/05/2015,Données définitives,Grand-Est,Production thermique charbon,22
01/05/2015,Données définitives,Grand-Est,Production thermique fioul,4
01/05/2015,Données définitives,Grand-Est,Production thermique gaz,18
01/05/2015,Données définitives,Grand-Est,Production hydraulique,970
01/05/2015,Données définitives,Grand-Est,Production éolien,346
01/05/2015,Données définitives,Grand-Est,Production solaire,58
01/05/2015,Données définitives,Grand-Est,Production bioénergies,55
01/05/2015,Données définitives,Grand-Est,Consommation totale,3357
01/05/2015,Données définitives,Grand-Est,Solde exportateur,4706
01/05/2015,Données définitives,Nouvelle-Aquitaine,Production totale,2872
01/05/2015,Données définitives,Nouvelle-Aquitaine,Production nucléaire,2081
01/05/2015,Données définitives,Nouvelle-Aquitaine,Production thermique totale,13
01/05/2015,Données définitives,Nouvelle-Aquitaine,Production thermique fioul,1
01/05/2015,Données définitives,Nouvelle-Aquitaine,Production thermique gaz,11
01/05/2015,Données définitives,Nouvelle-Aquitaine,Production hydraulique,396
01/05/2015,Données définitives,Nouvelle-Aquitaine,Production éolien,67
01/05/2015,Données définitives,Nouvelle-Aquitaine,Production solaire,194
01/05/2015,Données définitives,Nouvelle-Aquitaine,Production bioénergies,118
01/05/2015,Données définitives,Nouvelle-Aquitaine,Consommation totale,2959
01/05/2015,Données définitives,Nouvelle-Aquitaine,Solde exportateur,-87
01/05/2015,Données définitives,Auvergne-Rhône-Alpes,Production totale,10145
01/05/2015,Données définitives,Auvergne-Rhône-Alpes,Production nucléaire,6960
01/05/2015,Données définitives,Auvergne-Rhône-Alpes,Production thermique totale,34
01/05/2015,Données définitives,Auvergne-Rhône-Alpes,Production thermique charbon,5
01/05/2015,Données définitives,Auvergne-Rhône-Alpes,Production thermique fioul,24
01/05/2015,Données définitives,Auvergne-Rhône-Alpes,Production thermique gaz,4
01/05/2015,Données définitives,Auvergne-Rhône-Alpes,Production hydraulique,2907
01/05/2015,Données définitives,Auvergne-Rhône-Alpes,Production éolien,86
01/05/2015,Données définitives,Auvergne-Rhône-Alpes,Production solaire,91
01/05/2015,Données définitives,Auvergne-Rhône-Alpes,Production bioénergies,65
01/05/2015,Données définitives,Auvergne-Rhône-Alpes,Consommation totale,4839
01/05/2015,Données définitives,Auvergne-Rhône-Alpes,Solde exportateur,4922
01/05/2015,Données définitives,Bourgogne-Franche-Comté,Production totale,196
01/05/2015,Données définitives,Bourgogne-Franche-Comté,Production thermique totale,19
01/05/2015,Données définitives,Bourgogne-Franche-Comté,Production thermique charbon,0
01/05/2015,Données définitives,Bourgogne-Franche-Comté,Production thermique fioul,0
01/05/2015,Données définitives,Bourgogne-Franche-Comté,Production thermique gaz,19
01/05/2015,Données définitives,Bourgogne-Franche-Comté,Production hydraulique,83
01/05/2015,Données définitives,Bourgogne-Franche-Comté,Production éolien,51
01/05/2015,Données définitives,Bourgogne-Franche-Comté,Production solaire,25
01/05/2015,Données définitives,Bourgogne-Franche-Comté,Production bioénergies,16
01/05/2015,Données définitives,Bourgogne-Franche-Comté,Consommation totale,1491
01/05/2015,Données définitives,Bourgogne-Franche-Comté,Solde exportateur,-1295
01/05/2015,Données définitives,Bretagne,Production totale,208
01/05/2015,Données définitives,Bretagne,Production thermique totale,0
01/05/2015,Données définitives,Bretagne,Production thermique fioul,0
01/05/2015,Données définitives,Bretagne,Production thermique gaz,0
01/05/2015,Données définitives,Bretagne,Production hydraulique,45
01/05/2015,Données définitives,Bretagne,Production éolien,112
01/05/2015,Données définitives,Bretagne,Production solaire,21
01/05/2015,Données définitives,Bretagne,Production bioénergies,28
01/05/2015,Données définitives,Bretagne,Consommation totale,1587
01/05/2015,Données définitives,Bretagne,Solde exportateur,-1383
01/05/2015,Données définitives,Centre-Val de Loire,Production totale,5743
01/05/2015,Données définitives,Centre-Val de Loire,Production nucléaire,5529
01/05/2015,Données définitives,Centre-Val de Loire,Production thermique totale,0
01/05/2015,Données définitives,Centre-Val de Loire,Production thermique fioul,0
01/05/2015,Données définitives,Centre-Val de Loire,Production thermique gaz,0
01/05/2015,Données définitives,Centre-Val de Loire,Production hydraulique,10
01/05/2015,Données définitives,Centre-Val de Loire,Production éolien,139
01/05/2015,Données définitives,Centre-Val de Loire,Production solaire,27
01/05/2015,Données définitives,Centre-Val de Loire,Production bioénergies,35
01/05/2015,Données définitives,Centre-Val de Loire,Consommation totale,1308
01/05/2015,Données définitives,Centre-Val de Loire,Solde exportateur,4434
01/05/2015,Données définitives,France,Production totale,40641
01/05/2015,Données définitives,France,Production nucléaire,30329
01/05/2015,Données définitives,France,Production thermique totale,747
01/05/2015,Données définitives,France,Production thermique charbon,34
01/05/2015,Données définitives,France,Production thermique fioul,242
01/05/2015,Données définitives,France,Production thermique gaz,471
01/05/2015,Données définitives,France,Production hydraulique,6500
01/05/2015,Données définitives,France,Production éolien,1580
01/05/2015,Données définitives,France,Production solaire,843
01/05/2015,Données définitives,France,Production bioénergies,638
01/05/2015,Données définitives,France,Consommation totale,33927
01/05/2015,Données définitives,France,Solde exportateur,5782
01/05/2015,Données définitives,France,Echanges export,8310
01/05/2015,Données définitives,France,Echanges import,2527
01/05/2015,Données définitives,France,Echanges avec le Royaume-Uni,1403
01/05/2015,Données définitives,France,Echanges avec l'Espagne,817
01/05/2015,Données définitives,France,Echanges avec l'Italie,1389
01/05/2015,Données définitives,France,Echanges avec la Suisse,641
01/05/2015,Données définitives,France,Echanges avec l'Allemagne et la Belgique,1529
01/05/2015,Données définitives,Ile-de-France,Production totale,96
01/05/2015,Données définitives,Ile-de-France,Production thermique totale,8
01/05/2015,Données définitives,Ile-de-France,Production thermique charbon,-1
01/05/2015,Données définitives,Ile-de-France,Production thermique fioul,10
01/05/2015,Données définitives,Ile-de-France,Production thermique gaz,0
01/05/2015,Données définitives,Ile-de-France,Production hydraulique,3
01/05/2015,Données définitives,Ile-de-France,Production éolien,2
01/05/2015,Données définitives,Ile-de-France,Production solaire,8
01/05/2015,Données définitives,Ile-de-France,Production bioénergies,72
01/05/2015,Données définitives,Ile-de-France,Consommation totale,5155
01/05/2015,Données définitives,Ile-de-France,Solde exportateur,-5059
01/05/2015,Données définitives,Occitanie,Production totale,3283
01/05/2015,Données définitives,Occitanie,Production nucléaire,1644
01/05/2015,Données définitives,Occitanie,Production thermique totale,-2
01/05/2015,Données définitives,Occitanie,Production thermique fioul,-2
01/05/2015,Données définitives,Occitanie,Production thermique gaz,0
01/05/2015,Données définitives,Occitanie,Production hydraulique,1176
01/05/2015,Données définitives,Occitanie,Production éolien,234
01/05/2015,Données définitives,Occitanie,Production solaire,182
01/05/2015,Données définitives,Occitanie,Production bioénergies,48
01/05/2015,Données définitives,Occitanie,Consommation totale,2453
01/05/2015,Données définitives,Occitanie,Solde exportateur,609
01/05/2015,Données définitives,Normandie,Production totale,5169
01/05/2015,Données définitives,Normandie,Production nucléaire,4827
01/05/2015,Données définitives,Normandie,Production thermique totale,189
01/05/2015,Données définitives,Normandie,Production thermique charbon,13
01/05/2015,Données définitives,Normandie,Production thermique fioul,50
01/05/2015,Données définitives,Normandie,Production thermique gaz,125
01/05/2015,Données définitives,Normandie,Production hydraulique,9
01/05/2015,Données définitives,Normandie,Production éolien,85
01/05/2015,Données définitives,Normandie,Production solaire,14
01/05/2015,Données définitives,Normandie,Production bioénergies,42
01/05/2015,Données définitives,Normandie,Consommation totale,2050
01/05/2015,Données définitives,Normandie,Solde exportateur,3118
01/05/2015,Données définitives,Hauts-de-France,Production totale,3268
01/05/2015,Données définitives,Hauts-de-France,Production nucléaire,2574
01/05/2015,Données définitives,Hauts-de-France,Production thermique totale,245
01/05/2015,Données définitives,Hauts-de-France,Production thermique charbon,1
01/05/2015,Données définitives,Hauts-de-France,Production thermique fioul,1
01/05/2015,Données définitives,Hauts-de-France,Production thermique gaz,243
01/05/2015,Données définitives,Hauts-de-France,Production hydraulique,1
01/05/2015,Données définitives,Hauts-de-France,Production éolien,350
01/05/2015,Données définitives,Hauts-de-France,Production solaire,15
01/05/2015,Données définitives,Hauts-de-France,Production bioénergies,80
01/05/2015,Données définitives,Hauts-de-France,Consommation totale,3874
01/05/2015,Données définitives,Hauts-de-France,Solde exportateur,-605
01/05/2015,Données définitives,PACA,Production totale,1193
01/05/2015,Données définitives,PACA,Production thermique totale,127
01/05/2015,Données définitives,PACA,Production thermique charbon,-2
01/05/2015,Données définitives,PACA,Production thermique fioul,82
01/05/2015,Données définitives,PACA,Production thermique gaz,47
01/05/2015,Données définitives,PACA,Production hydraulique,865
01/05/2015,Données définitives,PACA,Production éolien,11
01/05/2015,Données définitives,PACA,Production solaire,139
01/05/2015,Données définitives,PACA,Production bioénergies,49
01/05/2015,Données définitives,PACA,Consommation totale,2836
01/05/2015,Données définitives,PACA,Solde exportateur,-1642
01/05/2015,Données définitives,Pays-de-la-Loire,Production totale,175
01/05/2015,Données définitives,Pays-de-la-Loire,Production thermique totale,10
01/05/2015,Données définitives,Pays-de-la-Loire,Production thermique charbon,-4
01/05/2015,Données définitives,Pays-de-la-Loire,Production thermique fioul,15
01/05/2015,Données définitives,Pays-de-la-Loire,Production thermique gaz,0
01/05/2015,Données définitives,Pays-de-la-Loire,Production hydraulique,1
01/05/2015,Données définitives,Pays-de-la-Loire,Production éolien,89
01/05/2015,Données définitives,Pays-de-la-Loire,Production solaire,48
01/05/2015,Données définitives,Pays-de-la-Loire,Production bioénergies,25
01/05/2015,Données définitives,Pays-de-la-Loire,Consommation totale,1872
01/05/2015,Données définitives,Pays-de-la-Loire,Solde exportateur,-1696
01/06/2015,Données définitives,Grand-Est,Production totale,7879
01/06/2015,Données définitives,Grand-Est,Production nucléaire,6468
01/06/2015,Données définitives,Grand-Est,Production thermique totale,55
01/06/2015,Données définitives,Grand-Est,Production thermique charbon,38
01/06/2015,Données définitives,Grand-Est,Production thermique fioul,3
01/06/2015,Données définitives,Grand-Est,Production thermique gaz,14
01/06/2015,Données définitives,Grand-Est,Production hydraulique,936
01/06/2015,Données définitives,Grand-Est,Production éolien,307
01/06/2015,Données définitives,Grand-Est,Production solaire,65
01/06/2015,Données définitives,Grand-Est,Production bioénergies,45
01/06/2015,Données définitives,Grand-Est,Consommation totale,3287
01/06/2015,Données définitives,Grand-Est,Solde exportateur,4481
01/06/2015,Données définitives,Nouvelle-Aquitaine,Production totale,2631
01/06/2015,Données définitives,Nouvelle-Aquitaine,Production nucléaire,2024
01/06/2015,Données définitives,Nouvelle-Aquitaine,Production thermique totale,13
01/06/2015,Données définitives,Nouvelle-Aquitaine,Production thermique fioul,2
01/06/2015,Données définitives,Nouvelle-Aquitaine,Production thermique gaz,10
01/06/2015,Données définitives,Nouvelle-Aquitaine,Production hydraulique,191
01/06/2015,Données définitives,Nouvelle-Aquitaine,Production éolien,46
01/06/2015,Données définitives,Nouvelle-Aquitaine,Production solaire,235
01/06/2015,Données définitives,Nouvelle-Aquitaine,Production bioénergies,120
01/06/2015,Données définitives,Nouvelle-Aquitaine,Consommation totale,2970
